Academic Year,LEA Number,LEA Name,School Number,School Name,Test Type Title,Grade Title,Subject Title,Advanced Count,Advanced Percent,Proficient Count,Proficient Percent,Basic Count,Basic Percent,Test Member Count,Create Date
2010,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Science,*,<= 5.0,29,82.9,5,14.3,35,20111104
2010,01,Allegany,0301,Flintstone Elementary,All,Grade 3,Reading,9,25.0,22,61.1,5,13.9,36,20111104
2010,01,Allegany,0301,Flintstone Elementary,All,Grade 4,Reading,15,37.5,25,62.5,*,<= 5.0,40,20111104
2010,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Reading,25,65.8,11,28.9,2,5.3,38,20111104
2010,01,Allegany,0301,Flintstone Elementary,All,Grade 3,Math,9,25.0,25,69.4,2,5.6,36,20111104
2010,01,Allegany,0301,Flintstone Elementary,All,Grade 4,Math,21,52.5,19,47.5,*,<= 5.0,40,20111104
2010,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Math,5,13.2,29,76.3,4,10.5,38,20111104
2010,01,Allegany,0401,South Penn Elementary,All,Grade 5,Science,*,<= 5.0,42,58.3,27,37.5,72,20111104
2010,01,Allegany,0401,South Penn Elementary,All,Grade 3,Reading,8,11.6,42,60.9,19,27.5,69,20111104
2010,01,Allegany,0401,South Penn Elementary,All,Grade 4,Reading,10,13.9,49,68.1,13,18.1,72,20111104
2010,01,Allegany,0401,South Penn Elementary,All,Grade 5,Reading,33,45.8,20,27.8,19,26.4,72,20111104
2010,01,Allegany,0401,South Penn Elementary,All,Grade 3,Math,23,33.3,40,58.0,6,8.7,69,20111104
2010,01,Allegany,0401,South Penn Elementary,All,Grade 4,Math,27,38.0,37,52.1,7,9.9,71,20111104
2010,01,Allegany,0401,South Penn Elementary,All,Grade 5,Math,7,9.7,49,68.1,16,22.2,72,20111104
2010,01,Allegany,0401,South Penn Elementary,Modified,Grade 3,Reading,*,*,*,*,*,*,*,20111104
2010,01,Allegany,0401,South Penn Elementary,Modified,Grade 4,Reading,*,*,*,*,*,*,*,20111104
2010,01,Allegany,0401,South Penn Elementary,Modified,Grade 5,Reading,*,*,*,*,*,*,*,20111104
