Academic Year,LEA Number,LEA Name,School Number,School Name,Test Type,Grade,Subject,Advanced Count,Advanced Percent,Proficient Count,Proficient Percent,Basic Count,Basic Percent,Tested Count,Create Date
2014,01,Allegany,0301,Flintstone Elementary,All,Grade 3,Math,8,53.3,7,46.7,*,<= 5.0,15,20140904
2014,01,Allegany,0301,Flintstone Elementary,All,Grade 4,Math,8,22.2,19,52.8,9,25.0,36,20140904
2014,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Math,7,22.6,23,74.2,*,<= 5.0,31,20140904
2014,01,Allegany,0301,Flintstone Elementary,All,Grade 3,Reading,13,40.6,17,53.1,2,6.3,32,20140904
2014,01,Allegany,0301,Flintstone Elementary,All,Grade 4,Reading,7,19.4,22,61.1,7,19.4,36,20140904
2014,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Reading,19,61.3,12,38.7,*,<= 5.0,31,20140904
2014,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Science,7,22.6,23,74.2,*,<= 5.0,31,20140904
2014,01,Allegany,0401,South Penn Elementary,All,Grade 3,Math,7,12.1,31,53.4,20,34.5,58,20140904
2014,01,Allegany,0401,South Penn Elementary,All,Grade 4,Math,19,32.2,30,50.8,10,16.9,59,20140904
2014,01,Allegany,0401,South Penn Elementary,All,Grade 5,Math,11,17.7,40,64.5,11,17.7,62,20140904
2014,01,Allegany,0401,South Penn Elementary,All,Grade 3,Reading,6,10.3,29,50.0,23,39.7,58,20140904
2014,01,Allegany,0401,South Penn Elementary,All,Grade 4,Reading,16,20.3,52,65.8,11,13.9,79,20140904
2014,01,Allegany,0401,South Penn Elementary,All,Grade 5,Reading,30,48.4,21,33.9,11,17.7,62,20140904
2014,01,Allegany,0401,South Penn Elementary,All,Grade 5,Science,4,6.5,32,51.6,26,41.9,62,20140904
2014,01,Allegany,0402,John Humbird Elementary,All,Grade 3,Math,5,11.1,22,48.9,18,40.0,45,20140904
2014,01,Allegany,0402,John Humbird Elementary,All,Grade 4,Math,21,44.7,15,31.9,11,23.4,47,20140904
2014,01,Allegany,0402,John Humbird Elementary,All,Grade 5,Math,10,25.0,23,57.5,7,17.5,40,20140904
2014,01,Allegany,0402,John Humbird Elementary,All,Grade 3,Reading,*,<= 5.0,13,59.1,9,40.9,22,20140904
2014,01,Allegany,0402,John Humbird Elementary,All,Grade 4,Reading,7,14.9,33,70.2,7,14.9,47,20140904
2014,01,Allegany,0402,John Humbird Elementary,All,Grade 5,Reading,19,47.5,17,42.5,4,10.0,40,20140904
2014,01,Allegany,0402,John Humbird Elementary,All,Grade 5,Science,3,7.9,27,71.1,8,21.1,38,20140904
2014,01,Allegany,0406,Washington Middle,All,Grade 6,Math,25,11.5,96,44.0,97,44.5,218,20140904
2014,01,Allegany,0406,Washington Middle,All,Grade 7,Math,36,15.4,111,47.4,87,37.2,234,20140904
2014,01,Allegany,0406,Washington Middle,All,Grade 8,Math,76,35.5,87,40.7,51,23.8,214,20140904
2014,01,Allegany,0406,Washington Middle,All,Grade 6,Reading,73,33.2,110,50.0,37,16.8,220,20140904
2014,01,Allegany,0406,Washington Middle,All,Grade 7,Reading,50,27.6,67,37.0,64,35.4,181,20140904
2014,01,Allegany,0406,Washington Middle,All,Grade 8,Reading,76,35.5,84,39.3,54,25.2,214,20140904
2014,01,Allegany,0406,Washington Middle,All,Grade 8,Science,*,<= 5.0,131,61.2,82,38.3,214,20140904
2014,01,Allegany,0502,Northeast Elementary,All,Grade 3,Math,19,38.8,27,55.1,3,6.1,49,20140904
2014,01,Allegany,0502,Northeast Elementary,All,Grade 4,Math,28,66.7,11,26.2,3,7.1,42,20140904
2014,01,Allegany,0502,Northeast Elementary,All,Grade 5,Math,17,33.3,32,62.7,*,<= 5.0,51,20140904
2014,01,Allegany,0502,Northeast Elementary,All,Grade 3,Reading,6,18.2,22,66.7,5,15.2,33,20140904
2014,01,Allegany,0502,Northeast Elementary,All,Grade 4,Reading,14,33.3,26,61.9,*,<= 5.0,42,20140904
2014,01,Allegany,0502,Northeast Elementary,All,Grade 5,Reading,26,51.0,25,49.0,*,<= 5.0,51,20140904
2014,01,Allegany,0502,Northeast Elementary,All,Grade 5,Science,7,13.7,38,74.5,6,11.8,51,20140904
2014,01,Allegany,0504,Braddock Middle,All,Grade 6,Math,62,32.0,94,48.5,38,19.6,194,20140904
2014,01,Allegany,0504,Braddock Middle,All,Grade 7,Math,40,22.0,93,51.1,49,26.9,182,20140904
2014,01,Allegany,0504,Braddock Middle,All,Grade 8,Math,65,34.4,66,34.9,58,30.7,189,20140904
2014,01,Allegany,0504,Braddock Middle,All,Grade 6,Reading,91,47.2,84,43.5,18,9.3,193,20140904
2014,01,Allegany,0504,Braddock Middle,All,Grade 7,Reading,50,39.1,52,40.6,26,20.3,128,20140904
2014,01,Allegany,0504,Braddock Middle,All,Grade 8,Reading,72,38.1,69,36.5,48,25.4,189,20140904
2014,01,Allegany,0504,Braddock Middle,All,Grade 8,Science,*,<= 5.0,118,61.8,65,34.0,191,20140904
2014,01,Allegany,0603,West Side Elementary,All,Grade 3,Math,16,33.3,26,54.2,6,12.5,48,20140904
2014,01,Allegany,0603,West Side Elementary,All,Grade 4,Math,38,56.7,27,40.3,*,<= 5.0,67,20140904
2014,01,Allegany,0603,West Side Elementary,All,Grade 5,Math,5,11.9,23,54.8,14,33.3,42,20140904
2014,01,Allegany,0603,West Side Elementary,All,Grade 3,Reading,6,23.1,15,57.7,5,19.2,26,20140904
2014,01,Allegany,0603,West Side Elementary,All,Grade 4,Reading,18,26.9,48,71.6,*,<= 5.0,67,20140904
2014,01,Allegany,0603,West Side Elementary,All,Grade 5,Reading,19,45.2,18,42.9,5,11.9,42,20140904
