Academic Year,LEA Number,LEA Name,School Number,School Name,Test Type,Grade,Subject,Advanced Count,Advanced Percent,Proficient Count,Proficient Percent,Basic Count,Basic Percent,Tested Count,Create Date
2013,01,Allegany,0301,Flintstone Elementary,All,Grade 3,Math,11,35.5,13,41.9,7,22.6,31,20131112
2013,01,Allegany,0301,Flintstone Elementary,All,Grade 4,Math,15,50.0,14,46.7,*,<= 5.0,30,20131112
2013,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Math,9,25.0,22,61.1,5,13.9,36,20131112
2013,01,Allegany,0301,Flintstone Elementary,All,Grade 3,Reading,7,22.6,18,58.1,6,19.4,31,20131112
2013,01,Allegany,0301,Flintstone Elementary,All,Grade 4,Reading,11,36.7,18,60.0,*,<= 5.0,30,20131112
2013,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Reading,29,80.6,6,16.7,*,<= 5.0,36,20131112
2013,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Science,7,19.4,23,63.9,6,16.7,36,20131112
2013,01,Allegany,0401,South Penn Elementary,All,Grade 3,Math,21,27.6,30,39.5,25,32.9,76,20131112
2013,01,Allegany,0401,South Penn Elementary,All,Grade 4,Math,30,44.8,26,38.8,11,16.4,67,20131112
2013,01,Allegany,0401,South Penn Elementary,All,Grade 5,Math,9,10.6,45,52.9,31,36.5,85,20131112
2013,01,Allegany,0401,South Penn Elementary,All,Grade 3,Reading,14,18.4,41,53.9,21,27.6,76,20131112
2013,01,Allegany,0401,South Penn Elementary,All,Grade 4,Reading,11,16.4,47,70.1,9,13.4,67,20131112
2013,01,Allegany,0401,South Penn Elementary,All,Grade 5,Reading,36,42.4,41,48.2,8,9.4,85,20131112
2013,01,Allegany,0401,South Penn Elementary,All,Grade 5,Science,*,<= 5.0,46,54.1,36,42.4,85,20131112
2013,01,Allegany,0402,John Humbird Elementary,All,Grade 3,Math,4,8.3,32,66.7,12,25.0,48,20131112
2013,01,Allegany,0402,John Humbird Elementary,All,Grade 4,Math,17,47.2,17,47.2,2,5.6,36,20131112
2013,01,Allegany,0402,John Humbird Elementary,All,Grade 5,Math,4,9.5,24,57.1,14,33.3,42,20131112
2013,01,Allegany,0402,John Humbird Elementary,All,Grade 3,Reading,4,8.3,34,70.8,10,20.8,48,20131112
2013,01,Allegany,0402,John Humbird Elementary,All,Grade 4,Reading,11,30.6,20,55.6,5,13.9,36,20131112
2013,01,Allegany,0402,John Humbird Elementary,All,Grade 5,Reading,14,33.3,19,45.2,9,21.4,42,20131112
2013,01,Allegany,0402,John Humbird Elementary,All,Grade 5,Science,*,<= 5.0,20,48.8,20,48.8,41,20131112
2013,01,Allegany,0406,Washington Middle,All,Grade 6,Math,60,27.0,117,52.7,45,20.3,222,20131112
2013,01,Allegany,0406,Washington Middle,All,Grade 7,Math,41,20.2,137,67.5,25,12.3,203,20131112
2013,01,Allegany,0406,Washington Middle,All,Grade 8,Math,50,24.5,93,45.6,61,29.9,204,20131112
2013,01,Allegany,0406,Washington Middle,All,Grade 6,Reading,64,28.6,123,54.9,37,16.5,224,20131112
2013,01,Allegany,0406,Washington Middle,All,Grade 7,Reading,87,42.4,97,47.3,21,10.2,205,20131112
2013,01,Allegany,0406,Washington Middle,All,Grade 8,Reading,74,36.3,84,41.2,46,22.5,204,20131112
2013,01,Allegany,0406,Washington Middle,All,Grade 8,Science,*,<= 5.0,126,63.0,72,36.0,200,20131112
2013,01,Allegany,0502,Northeast Elementary,All,Grade 3,Math,25,55.6,19,42.2,*,<= 5.0,45,20131112
2013,01,Allegany,0502,Northeast Elementary,All,Grade 4,Math,34,66.7,14,27.5,3,5.9,51,20131112
2013,01,Allegany,0502,Northeast Elementary,All,Grade 5,Math,9,18.0,27,54.0,14,28.0,50,20131112
2013,01,Allegany,0502,Northeast Elementary,All,Grade 3,Reading,14,31.1,28,62.2,3,6.7,45,20131112
2013,01,Allegany,0502,Northeast Elementary,All,Grade 4,Reading,19,37.3,29,56.9,3,5.9,51,20131112
2013,01,Allegany,0502,Northeast Elementary,All,Grade 5,Reading,28,56.0,18,36.0,4,8.0,50,20131112
2013,01,Allegany,0502,Northeast Elementary,All,Grade 5,Science,3,6.0,37,74.0,10,20.0,50,20131112
2013,01,Allegany,0504,Braddock Middle,All,Grade 6,Math,74,40.2,78,42.4,32,17.4,184,20131112
2013,01,Allegany,0504,Braddock Middle,All,Grade 7,Math,45,23.0,101,51.5,50,25.5,196,20131112
2013,01,Allegany,0504,Braddock Middle,All,Grade 8,Math,52,30.8,75,44.4,42,24.9,169,20131112
2013,01,Allegany,0504,Braddock Middle,All,Grade 6,Reading,83,44.9,80,43.2,22,11.9,185,20131112
2013,01,Allegany,0504,Braddock Middle,All,Grade 7,Reading,85,43.8,76,39.2,33,17.0,194,20131112
2013,01,Allegany,0504,Braddock Middle,All,Grade 8,Reading,72,41.9,59,34.3,41,23.8,172,20131112
2013,01,Allegany,0504,Braddock Middle,All,Grade 8,Science,*,<= 5.0,119,70.4,45,26.6,169,20131112
2013,01,Allegany,0603,West Side Elementary,All,Grade 3,Math,37,66.1,17,30.4,*,<= 5.0,56,20131112
2013,01,Allegany,0603,West Side Elementary,All,Grade 4,Math,19,44.2,19,44.2,5,11.6,43,20131112
2013,01,Allegany,0603,West Side Elementary,All,Grade 5,Math,6,11.8,34,66.7,11,21.6,51,20131112
2013,01,Allegany,0603,West Side Elementary,All,Grade 3,Reading,15,26.8,37,66.1,4,7.1,56,20131112
2013,01,Allegany,0603,West Side Elementary,All,Grade 4,Reading,10,23.3,25,58.1,8,18.6,43,20131112
2013,01,Allegany,0603,West Side Elementary,All,Grade 5,Reading,24,47.1,22,43.1,5,9.8,51,20131112
2013,01,Allegany,0603,West Side Elementary,All,Grade 5,Science,*,<= 5.0,36,72.0,13,26.0,50,20131112
2013,01,Allegany,0701,Cresaptown Elementary,All,Grade 3,Math,30,51.7,25,43.1,3,5.2,58,20131112
2013,01,Allegany,0701,Cresaptown Elementary,All,Grade 4,Math,43,76.8,13,23.2,*,<= 5.0,56,20131112
2013,01,Allegany,0701,Cresaptown Elementary,All,Grade 5,Math,14,23.7,36,61.0,9,15.3,59,20131112
2013,01,Allegany,0701,Cresaptown Elementary,All,Grade 3,Reading,14,24.1,41,70.7,3,5.2,58,20131112
2013,01,Allegany,0701,Cresaptown Elementary,All,Grade 4,Reading,18,32.1,36,64.3,*,<= 5.0,56,20131112
2013,01,Allegany,0701,Cresaptown Elementary,All,Grade 5,Reading,41,69.5,12,20.3,6,10.2,59,20131112
2013,01,Allegany,0701,Cresaptown Elementary,All,Grade 5,Science,6,10.0,40,66.7,14,23.3,60,20131112
2013,01,Allegany,0702,Bel Air Elementary,All,Grade 3,Math,13,65.0,7,35.0,*,<= 5.0,20,20131112
2013,01,Allegany,0702,Bel Air Elementary,All,Grade 4,Math,20,44.4,24,53.3,*,<= 5.0,45,20131112
2013,01,Allegany,0702,Bel Air Elementary,All,Grade 5,Math,6,22.2,18,66.7,3,11.1,27,20131112
2013,01,Allegany,0702,Bel Air Elementary,All,Grade 3,Reading,7,35.0,13,65.0,*,<= 5.0,20,20131112
2013,01,Allegany,0702,Bel Air Elementary,All,Grade 4,Reading,10,22.2,34,75.6,*,<= 5.0,45,20131112
2013,01,Allegany,0702,Bel Air Elementary,All,Grade 5,Reading,19,70.4,6,22.2,2,7.4,27,20131112
2013,01,Allegany,0702,Bel Air Elementary,All,Grade 5,Science,5,19.2,18,69.2,3,11.5,26,20131112
2013,01,Allegany,0801,Westernport Elementary,All,Grade 3,Math,4,12.1,15,45.5,14,42.4,33,20131112
2013,01,Allegany,0801,Westernport Elementary,All,Grade 4,Math,14,32.6,26,60.5,3,7.0,43,20131112
2013,01,Allegany,0801,Westernport Elementary,All,Grade 5,Math,9,23.7,20,52.6,9,23.7,38,20131112
2013,01,Allegany,0801,Westernport Elementary,All,Grade 3,Reading,2,6.1,18,54.5,13,39.4,33,20131112
2013,01,Allegany,0801,Westernport Elementary,All,Grade 4,Reading,9,20.9,27,62.8,7,16.3,43,20131112
2013,01,Allegany,0801,Westernport Elementary,All,Grade 5,Reading,20,52.6,13,34.2,5,13.2,38,20131112
2013,01,Allegany,0801,Westernport Elementary,All,Grade 5,Science,8,21.1,18,47.4,12,31.6,38,20131112
2013,01,Allegany,0802,Westmar Middle,All,Grade 6,Math,21,27.6,47,61.8,8,10.5,76,20131112
2013,01,Allegany,0802,Westmar Middle,All,Grade 7,Math,13,13.0,75,75.0,12,12.0,100,20131112
2013,01,Allegany,0802,Westmar Middle,All,Grade 8,Math,14,17.7,48,60.8,17,21.5,79,20131112
2013,01,Allegany,0802,Westmar Middle,All,Grade 6,Reading,20,26.3,47,61.8,9,11.8,76,20131112
2013,01,Allegany,0802,Westmar Middle,All,Grade 7,Reading,34,34.0,40,40.0,26,26.0,100,20131112
2013,01,Allegany,0802,Westmar Middle,All,Grade 8,Reading,35,44.3,35,44.3,9,11.4,79,20131112
2013,01,Allegany,0802,Westmar Middle,All,Grade 8,Science,*,<= 5.0,58,75.3,19,24.7,77,20131112
2013,01,Allegany,1001,George's Creek Elementary,All,Grade 3,Math,19,36.5,21,40.4,12,23.1,52,20131112
2013,01,Allegany,1001,George's Creek Elementary,All,Grade 4,Math,25,56.8,16,36.4,3,6.8,44,20131112
2013,01,Allegany,1001,George's Creek Elementary,All,Grade 5,Math,8,17.0,27,57.4,12,25.5,47,20131112
2013,01,Allegany,1001,George's Creek Elementary,All,Grade 3,Reading,13,25.0,30,57.7,9,17.3,52,20131112
2013,01,Allegany,1001,George's Creek Elementary,All,Grade 4,Reading,7,15.9,32,72.7,5,11.4,44,20131112
2013,01,Allegany,1001,George's Creek Elementary,All,Grade 5,Reading,29,61.7,15,31.9,3,6.4,47,20131112
2013,01,Allegany,1001,George's Creek Elementary,All,Grade 5,Science,4,8.5,32,68.1,11,23.4,47,20131112
2013,01,Allegany,1101,Frost Elementary,All,Grade 3,Math,15,33.3,27,60.0,3,6.7,45,20131112
2013,01,Allegany,1101,Frost Elementary,All,Grade 4,Math,24,80.0,6,20.0,*,<= 5.0,30,20131112
2013,01,Allegany,1101,Frost Elementary,All,Grade 5,Math,25,65.8,13,34.2,*,<= 5.0,38,20131112
2013,01,Allegany,1101,Frost Elementary,All,Grade 3,Reading,15,33.3,28,62.2,*,<= 5.0,45,20131112
2013,01,Allegany,1101,Frost Elementary,All,Grade 4,Reading,18,60.0,11,36.7,*,<= 5.0,30,20131112
2013,01,Allegany,1101,Frost Elementary,All,Grade 5,Reading,35,92.1,3,7.9,*,<= 5.0,38,20131112
2013,01,Allegany,1101,Frost Elementary,All,Grade 5,Science,19,50.0,18,47.4,*,<= 5.0,38,20131112
2013,01,Allegany,1301,Mount Savage Middle,All,Grade 6,Math,39,31.5,60,48.4,25,20.2,124,20131112
2013,01,Allegany,1301,Mount Savage Middle,All,Grade 7,Math,19,13.9,85,62.0,33,24.1,137,20131112
2013,01,Allegany,1301,Mount Savage Middle,All,Grade 8,Math,34,26.8,54,42.5,39,30.7,127,20131112
2013,01,Allegany,1301,Mount Savage Middle,All,Grade 6,Reading,47,37.9,62,50.0,15,12.1,124,20131112
2013,01,Allegany,1301,Mount Savage Middle,All,Grade 7,Reading,64,46.7,52,38.0,21,15.3,137,20131112
