Academic Year,LEA Number,LEA Name,School Number,School Name,Assessment,Tested Count,Level 1: Did not yet meet expectations - Count,Level 1: Did not yet meet expectations - Percent,Level 2: Partially met expectations - Count,Level 2: Partially met expectations - Percent,Level 3: Approached expectations - Count,Level 3: Approached expectations - Percent,Level 4: Met expectations - Count,Level 4: Met expectations - Percent,Level 5: Exceeded expectations - Count,Level 5: Exceeded expectations - Percent,Create Date
2015,02,Anne Arundel,1242,Richard Henry Lee Elementary,Mathematics Grade 5,79,7,8.9,32,40.5,29,36.7,11,13.9,*,<= 5.0,20160108
2015,02,Anne Arundel,1262,Woodside Elementary,English/Language Arts Grade 3,42,9,21.4,12,28.6,8,19,12,28.6,*,<= 5.0,20160108
2015,02,Anne Arundel,1262,Woodside Elementary,English/Language Arts Grade 4,41,5,12.2,13,31.7,12,29.3,10,24.4,*,<= 5.0,20160108
2015,02,Anne Arundel,1262,Woodside Elementary,English/Language Arts Grade 5,41,6,14.6,11,26.8,7,17.1,17,41.5,*,<= 5.0,20160108
2015,02,Anne Arundel,1262,Woodside Elementary,Mathematics Grade 3,42,4,9.5,20,47.6,8,19,8,19,*,<= 5.0,20160108
2015,02,Anne Arundel,1262,Woodside Elementary,Mathematics Grade 4,41,3,7.3,15,36.6,10,24.4,13,31.7,*,<= 5.0,20160108
2015,02,Anne Arundel,1262,Woodside Elementary,Mathematics Grade 5,41,3,7.3,15,36.6,14,34.1,8,19.5,*,<= 5.0,20160108
2015,02,Anne Arundel,1323,North County High,Algebra 1,320,58,18.1,141,44.1,99,30.9,22,6.9,*,<= 5.0,20160108
2015,02,Anne Arundel,1323,North County High,Algebra 2,328,130,39.6,109,33.2,65,19.8,24,7.3,*,<= 5.0,20160108
2015,02,Anne Arundel,1323,North County High,English/Language Arts Grade 10,436,122,28,91,20.9,99,22.7,97,22.2,27,6.2,20160108
2015,02,Anne Arundel,2013,Severna Park High,Algebra 1,139,*,<= 5.0,41,29.5,63,45.3,29,20.9,*,<= 5.0,20160108
2015,02,Anne Arundel,2013,Severna Park High,Algebra 2,450,67,14.9,121,26.9,122,27.1,136,30.2,*,<= 5.0,20160108
2015,02,Anne Arundel,2013,Severna Park High,English/Language Arts Grade 10,430,76,17.7,65,15.1,101,23.5,139,32.3,49,11.4,20160108
2015,02,Anne Arundel,2023,Northeast High,Algebra 1,241,30,12.4,104,43.2,89,36.9,18,7.5,*,<= 5.0,20160108
2015,02,Anne Arundel,2023,Northeast High,Algebra 2,320,171,53.4,94,29.4,42,13.1,*,<= 5.0,*,<= 5.0,20160108
2015,02,Anne Arundel,2023,Northeast High,English/Language Arts Grade 10,298,68,22.8,58,19.5,70,23.5,80,26.8,22,7.4,20160108
2015,02,Anne Arundel,2033,George Fox Middle,Algebra 1,67,*,<= 5.0,*,<= 5.0,12,17.9,50,74.6,4,6,20160108
2015,02,Anne Arundel,2033,George Fox Middle,English/Language Arts Grade 6,308,17,5.5,67,21.8,117,38,100,32.5,*,<= 5.0,20160108
2015,02,Anne Arundel,2033,George Fox Middle,English/Language Arts Grade 7,315,55,17.5,68,21.6,101,32.1,85,27,*,<= 5.0,20160108
2015,02,Anne Arundel,2033,George Fox Middle,English/Language Arts Grade 8,278,36,12.9,53,19.1,68,24.5,108,38.8,*,<= 5.0,20160108
2015,02,Anne Arundel,2033,George Fox Middle,Mathematics Grade 6,306,31,10.1,99,32.4,90,29.4,83,27.1,*,<= 5.0,20160108
2015,02,Anne Arundel,2033,George Fox Middle,Mathematics Grade 7,316,36,11.4,106,33.5,132,41.8,42,13.3,*,<= 5.0,20160108
2015,02,Anne Arundel,2033,George Fox Middle,Mathematics Grade 8,216,51,23.6,59,27.3,73,33.8,33,15.3,*,<= 5.0,20160108
2015,02,Anne Arundel,2043,Severna Park Middle,Algebra 1,320,*,<= 5.0,*,<= 5.0,28,8.8,243,75.9,46,14.4,20160108
2015,02,Anne Arundel,2043,Severna Park Middle,English/Language Arts Grade 6,508,*,<= 5.0,43,8.5,115,22.6,303,59.6,35,6.9,20160108
2015,02,Anne Arundel,2043,Severna Park Middle,English/Language Arts Grade 7,437,*,<= 5.0,27,6.2,60,13.7,216,49.4,114,26.1,20160108
2015,02,Anne Arundel,2043,Severna Park Middle,English/Language Arts Grade 8,482,*,<= 5.0,29,6,63,13.1,259,53.7,120,24.9,20160108
2015,02,Anne Arundel,2043,Severna Park Middle,Mathematics Grade 6,508,*,<= 5.0,46,9.1,127,25,294,57.9,34,6.7,20160108
2015,02,Anne Arundel,2043,Severna Park Middle,Mathematics Grade 7,437,*,<= 5.0,32,7.3,127,29.1,250,57.2,*,<= 5.0,20160108
2015,02,Anne Arundel,2043,Severna Park Middle,Mathematics Grade 8,161,*,<= 5.0,43,26.7,59,36.6,52,32.3,*,<= 5.0,20160108
2015,02,Anne Arundel,2052,Arnold Elementary,English/Language Arts Grade 3,57,*,<= 5.0,*,<= 5.0,9,15.8,35,61.4,10,17.5,20160108
2015,02,Anne Arundel,2052,Arnold Elementary,English/Language Arts Grade 4,64,*,<= 5.0,4,6.3,14,21.9,32,50,14,21.9,20160108
2015,02,Anne Arundel,2052,Arnold Elementary,English/Language Arts Grade 5,81,*,<= 5.0,7,8.6,18,22.2,50,61.7,6,7.4,20160108
2015,02,Anne Arundel,2052,Arnold Elementary,Mathematics Grade 3,57,*,<= 5.0,3,5.3,10,17.5,32,56.1,11,19.3,20160108
2015,02,Anne Arundel,2052,Arnold Elementary,Mathematics Grade 4,64,*,<= 5.0,9,14.1,16,25,36,56.3,*,<= 5.0,20160108
2015,02,Anne Arundel,2052,Arnold Elementary,Mathematics Grade 5,81,*,<= 5.0,23,28.4,22,27.2,30,37,*,<= 5.0,20160108
2015,02,Anne Arundel,2062,Belvedere Elementary,English/Language Arts Grade 3,73,4,5.5,6,8.2,17,23.3,41,56.2,5,6.8,20160108
2015,02,Anne Arundel,2062,Belvedere Elementary,English/Language Arts Grade 4,73,*,<= 5.0,*,<= 5.0,19,26,43,58.9,7,9.6,20160108
2015,02,Anne Arundel,2062,Belvedere Elementary,English/Language Arts Grade 5,66,*,<= 5.0,7,10.6,16,24.2,40,60.6,*,<= 5.0,20160108
2015,02,Anne Arundel,2062,Belvedere Elementary,Mathematics Grade 3,73,4,5.5,6,8.2,19,26,33,45.2,11,15.1,20160108
2015,02,Anne Arundel,2062,Belvedere Elementary,Mathematics Grade 4,73,*,<= 5.0,10,13.7,19,26,39,53.4,*,<= 5.0,20160108
2015,02,Anne Arundel,2062,Belvedere Elementary,Mathematics Grade 5,66,*,<= 5.0,*,<= 5.0,21,31.8,36,54.5,6,9.1,20160108
2015,02,Anne Arundel,2072,Benfield Elementary,English/Language Arts Grade 3,75,*,<= 5.0,*,<= 5.0,5,6.7,51,68,16,21.3,20160108
2015,02,Anne Arundel,2072,Benfield Elementary,English/Language Arts Grade 4,89,*,<= 5.0,*,<= 5.0,14,15.7,44,49.4,28,31.5,20160108
2015,02,Anne Arundel,2072,Benfield Elementary,English/Language Arts Grade 5,86,*,<= 5.0,*,<= 5.0,5,5.8,64,74.4,13,15.1,20160108
2015,02,Anne Arundel,2072,Benfield Elementary,Mathematics Grade 3,75,*,<= 5.0,*,<= 5.0,11,14.7,47,62.7,14,18.7,20160108
2015,02,Anne Arundel,2072,Benfield Elementary,Mathematics Grade 4,89,*,<= 5.0,*,<= 5.0,20,22.5,56,62.9,12,13.5,20160108
